Zapis binarny             | Zapis dziesiętny          | Symbol                    | Częstość                  | Prawdopodobieństwo        | Ilość informacji         
0000000000111000          | 56                        | 8                         | 5                         | 0,00001094                | 16,47948346              
0000000000101101          | 45                        | -                         | 742                       | 0,00162411                | 9,26613618               
0000000000110011          | 51                        | 3                         | 1                         | 0,00000219                | 18,80141156              
0000000000110010          | 50                        | 2                         | 3                         | 0,00000657                | 17,21644905              
0000000000110100          | 52                        | 4                         | 1                         | 0,00000219                | 18,80141156              
0000000000110101          | 53                        | 5                         | 1                         | 0,00000219                | 18,80141156              
0000000001001011          | 75                        | K                         | 683                       | 0,00149497                | 9,38566979               
0000000100011001          | 281                       | ę                         | 5526                      | 0,01209545                | 6,36939171               
0000000001100111          | 103                       | g                         | 4765                      | 0,01042975                | 6,58315106               
0000000001110000          | 112                       | p                         | 7985                      | 0,01747777                | 5,83833486               
0000000001110010          | 114                       | r                         | 15257                     | 0,03339491                | 4,90422786               
0000000001000111          | 71                        | G                         | 358                       | 0,0007836                 | 10,31759578              
0000000011110011          | 243                       | ó                         | 3092                      | 0,00676785                | 7,20708695               
0000000000101100          | 44                        | ,                         | 9113                      | 0,01994677                | 5,6477012                
0000000101000010          | 322                       | ł                         | 10054                     | 0,02200645                | 5,50592958               
0000000001010111          | 87                        | W                         | 1244                      | 0,0027229                 | 8,52064079               
0000000101111100          | 380                       | ż                         | 3330                      | 0,00728879                | 7,10010509               
0000000101011011          | 347                       | ś                         | 2523                      | 0,00552241                | 7,50048706               
0000000100000101          | 261                       | ą                         | 4788                      | 0,0104801                 | 6,57620412               
0000000101111011          | 379                       | Ż                         | 219                       | 0,00047935                | 11,0266245               
0000000001001111          | 79                        | O                         | 566                       | 0,00123888                | 9,65675331               
0000000101111010          | 378                       | ź                         | 414                       | 0,00090617                | 10,1079246               
0000000001100010          | 98                        | b                         | 5742                      | 0,01256824                | 6,31407394               
0000000001010010          | 82                        | R                         | 488                       | 0,00106815                | 9,87067422               
0000000001000101          | 69                        | E                         | 23                        | 0,00005034                | 14,2778496               
0000000000100001          | 33                        | !                         | 1083                      | 0,0023705                 | 8,72059403               
0000000000111010          | 58                        | :                         | 1143                      | 0,00250183                | 8,64280187               
0000000100000111          | 263                       | ć                         | 1952                      | 0,00427259                | 7,87067422               
0000000000101110          | 46                        | .                         | 2833                      | 0,00620094                | 7,33329667               
0000000001000100          | 68                        | D                         | 551                       | 0,00120604                | 9,69550305               
0000000001001010          | 74                        | J                         | 729                       | 0,00159565                | 9,29163655               
0000000001000011          | 67                        | C                         | 556                       | 0,00121699                | 9,68247048               
0000000001101000          | 104                       | h                         | 4203                      | 0,00919963                | 6,76420781               
0000000000101000          | 40                        | (                         | 72                        | 0,0001576                 | 12,63148655              
0000000001100110          | 102                       | f                         | 383                       | 0,00083832                | 10,22021097              
0000000000111011          | 59                        | ;                         | 1445                      | 0,00316285                | 8,30455778               
0000000101000100          | 324                       | ń                         | 651                       | 0,00142493                | 9,45489782               
0000000000101001          | 41                        | )                         | 72                        | 0,0001576                 | 12,63148655              
0000000001011010          | 90                        | Z                         | 782                       | 0,00171166                | 9,19038676               
0000000101011010          | 346                       | Ś                         | 71                        | 0,00015541                | 12,65166444              
0000000001010101          | 85                        | U                         | 182                       | 0,00039837                | 11,29361692              
0000000001000110          | 70                        | F                         | 45                        | 0,0000985                 | 13,30955846              
0000000011101001          | 233                       | é                         | 43                        | 0,00009412                | 13,3751468               
0000000000111111          | 63                        | ?                         | 441                       | 0,00096527                | 10,01677671              
0000000010101011          | 171                       | «                         | 540                       | 0,00118197                | 9,72459596               
0000000010111011          | 187                       | »                         | 538                       | 0,00117759                | 9,72994919               
0000000011010011          | 211                       | Ó                         | 13                        | 0,00002845                | 15,10097184              
0000000101000001          | 321                       | Ł                         | 24                        | 0,00005253                | 14,21644905              
0000000001111000          | 120                       | x                         | 3                         | 0,00000657                | 17,21644905              
0000000001110110          | 118                       | v                         | 5                         | 0,00001094                | 16,47948346              
0000000000101010          | 42                        | *                         | 150                       | 0,00032832                | 11,57259287              
0000000011100000          | 224                       | à                         | 1                         | 0,00000219                | 18,80141156              
0000000101111001          | 377                       | Ź                         | 4                         | 0,00000876                | 16,80141156              
0000000001010110          | 86                        | V                         | 2                         | 0,00000438                | 17,80141156              
0000000000101111          | 47                        | /                         | 1                         | 0,00000219                | 18,80141156              
0000000100000110          | 262                       | Ć                         | 1                         | 0,00000219                | 18,80141156              
0000000001110001          | 113                       | q                         | 2                         | 0,00000438                | 17,80141156              
0000000000110001          | 49                        | 1                         | 2                         | 0,00000438                | 17,80141156              
